No,회사,제목,지역,상세보기
1,(주)피플스카우트,[글로벌 우주항공·첨단소재 기업]Python Developer-세일즈 애널리틱스,서울 강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606230002250&src=etc*search
2,주식회사 빅앤딥,"[서울 문정] [경력3년이상 4,300~8,500] C++응용소프트웨어, React/Python개발자 등",서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060004093&src=etc*search
3,(주)아톰소프트,기계공학 S/W 개발 인재 채용,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002637&src=etc*search
4,(주) 와이즈오토모티브,임베디드 어플리케이션 소프트웨어 /펌웨어 개발자  채용,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070002589&src=etc*search
5,프로페셔날핸즈인핸즈코리아(주),의류 중견기업 AI Engineer (과장급) 정규직 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605200003210&src=etc*search
6,(주)스태틱웨이브즈코리아,AI 데이터·모델링 총괄 채용,경기 고양시 덕양구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100001102&src=etc*search
7,(주)랩스피너,[랩스피너] 소프트웨어 연구원 모집,경기 화성시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002505&src=etc*search
8,주식회사가치소프트,2D/3D Vision SW 및 AI SW개발 프로그래머 채용,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605190002443&src=etc*search
9,지니코딩스쿨컴퓨터학원,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,부산 해운대구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607080001889&src=etc*search
10,(주)디자인그룹나인,[파견/7개월/의왕] 대기업 AI 에이전트 개발자 모집,경기 의왕시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605130001076&src=etc*search
11,엔아이스퀘어,응용 시스템 개발자 모집,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605260000117&src=etc*search
12,드림에이치알,AI 개발자-국내 대표적 보안솔루션 전문기업,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606160001076&src=etc*search
13,주식회사 프롭핀테크,개발자 채용합니다.,서울 서초구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605120005720&src=etc*search
14,파워에이치알,[코스피-신용평가업체] 금융권 애플리케이션개발,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290005681&src=etc*search
15,(주)신영에스앤씨,AI·데이터 기반 공정/소재 R&D 신규 연구인력 채용,인천 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606290000316&src=etc*search
16,라온지아이 주식회사,트레이딩 시스템 엔지니어 Trading Systems Engineer,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090003081&src=etc*search
17,주식회사 에스더블유엠,[SWM] DI테크센터 인프라 운영 엔지니어 경력직 모집,경기 안양시 동안구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605130001146&src=etc*search
18,주식회사TEF,기업부설연구소 연구원 모집(SW개발),전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020001593&src=etc*search
19,베스트네트워크(주),43. 데이터 분석 담당자[글로벌 리딩 보험사],서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100003341&src=etc*search
20,(주)지에프,S/W개발자 모집,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010001667&src=etc*search
21,(주)케이피엠씨,AI-Native 펌웨어 풀스택 개발자 (스마트 공유주차플랫폼),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020004480&src=etc*search
22,에이치알포유(주),[] 9자리 이상[] 백엔드 엔지니어 (시니어),서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020002428&src=etc*search
23,에이피써치,[특허 버티컬 AI 전문 기업] 백엔드 엔지니어,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606300003713&src=etc*search
24,(주)엘핀,AI 어플리케이션 개발자 채용,서울 강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010005107&src=etc*search
25,비전서치,상장 대기업 마케팅 플랫폼 개발 Martech 엔지니어,서울,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607040000170&src=etc*search
26,써치스퀘어,"AI Engineer (설계,개발,운영)",서울 중구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606220001269&src=etc*search
27,(주)제이드크로스,솔루션 S/W 엔지니어 정규직 채용(개발경력 3년이상),서울 서초구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606190002040&src=etc*search
28,(주)씨에스이,연구개발팀 모집합니다.(2명),경기 오산시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607020003710&src=etc*search
29,삼양식품,[삼양식품]  IT팀 Back-end개발자,서울 성북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606090000011&src=etc*search
30,(주)엔터웨이파트너스,AI 엔지니어 - 인공지능(AI)디자인 전문기업,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607090002040&src=etc*search
31,(주)피플스카우트,[글로벌 우주항공·첨단소재 기업]Python Developer-세일즈 애널리틱스,서울 강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2606230002250&src=etc*search
32,주식회사 빅앤딥,"[서울 문정] [경력3년이상 4,300~8,500] C++응용소프트웨어, React/Python개발자 등",서울 송파구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607060004093&src=etc*search
33,(주)아톰소프트,기계공학 S/W 개발 인재 채용,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002637&src=etc*search
34,(주) 와이즈오토모티브,임베디드 어플리케이션 소프트웨어 /펌웨어 개발자  채용,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607070002589&src=etc*search
35,프로페셔날핸즈인핸즈코리아(주),의류 중견기업 AI Engineer (과장급) 정규직 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605200003210&src=etc*search
36,(주)스태틱웨이브즈코리아,AI 데이터·모델링 총괄 채용,경기 고양시 덕양구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607100001102&src=etc*search
37,(주)랩스피너,[랩스피너] 소프트웨어 연구원 모집,경기 화성시 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2607010002505&src=etc*search
38,주식회사가치소프트,2D/3D Vision SW 및 AI SW개발 프로그래머 채용,세종,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605190002443&src=etc*search
